Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Dom7,1303,5.0,4.0,2.0,6.0,10.0,3.0,6
A,Dom7,1304,9.0,0.0,2.0,6.0,8.0,5.0,6
A,Dom7,1305,9.0,0.0,2.0,6.0,10.0,3.0,6
A,Dom7,1306,5.0,4.0,5.0,6.0,5.0,5.0,6
A,Dom7,1307,5.0,4.0,5.0,6.0,10.0,0.0,6
A,Dom7,1308,5.0,4.0,5.0,9.0,2.0,5.0,6
A,Dom7,1309,9.0,0.0,5.0,6.0,5.0,5.0,6
A,Dom7,1310,9.0,0.0,5.0,6.0,10.0,0.0,6
A,Dom7,1311,9.0,0.0,5.0,9.0,2.0,5.0,6
A,Dom7,1312,5.0,4.0,2.0,0.0,10.0,9.0,6
A,Dom7,1313,9.0,0.0,2.0,0.0,10.0,9.0,6
A,Dom7,1314,5.0,4.0,5.0,9.0,10.0,9.0,6
A,Dom7,1315,9.0,0.0,5.0,9.0,10.0,9.0,6
A,Dom7,1316,5.0,4.0,2.0,0.0,5.0,5.0,6
A,Dom7,1317,5.0,4.0,2.0,0.0,10.0,0.0,6
A,Dom7,1318,9.0,0.0,2.0,0.0,5.0,5.0,6
A,Dom7,1319,9.0,0.0,2.0,0.0,10.0,0.0,6
A,Dom7,1320,5.0,4.0,2.0,9.0,8.0,5.0,6
A,Dom7,1321,5.0,4.0,2.0,9.0,10.0,3.0,6
A,Dom7,1322,9.0,0.0,2.0,9.0,8.0,5.0,6
A,Dom7,1323,9.0,0.0,2.0,9.0,10.0,3.0,6
A,Dom7,1324,5.0,4.0,2.0,0.0,8.0,5.0,6
A,Dom7,1325,5.0,4.0,2.0,0.0,10.0,3.0,6
A,Dom7,1326,9.0,0.0,2.0,0.0,8.0,5.0,6
A,Dom7,1327,9.0,0.0,2.0,0.0,10.0,3.0,6
A,Dom7,1328,5.0,4.0,5.0,9.0,8.0,5.0,6
A,Dom7,1329,5.0,4.0,5.0,9.0,10.0,3.0,6
A,Dom7,1330,9.0,0.0,5.0,9.0,8.0,5.0,6
A,Dom7,1331,9.0,0.0,5.0,9.0,10.0,3.0,6
A,Dom7,1332,0.0,0.0,5.0,6.0,10.0,9.0,6
A,Dom7,1333,3.0,0.0,2.0,6.0,10.0,9.0,6
A,Dom7,1334,5.0,7.0,5.0,6.0,10.0,9.0,6
